cluster_number,similarity_to_bench
3,0.2
5,0.18666666666666668
13,0.13333333333333333
12,0.10666666666666667
8,0.10666666666666667
15,0.06666666666666667
7,0.06666666666666667
1,0.04
0,0.04
11,0.02666666666666667
4,0.013333333333333334
6,0.013333333333333334
